rainfall_mm,fertilizer_kg,temperature_c,soil_quality,noise_feature,crop_yield
113,86,36,6,-3.364095526463311,41.04284780019675
298,60,33,6,1.1235417816915165,41.44014865760724
180,72,33,5,2.143205188113887,34.13223302153221
278,61,20,1,-0.3425888682306461,36.237256969254695
100,13,37,8,0.2493145416219552,16.391465577446496
184,32,39,5,0.324518316374555,22.724312866450205
70,24,18,5,1.67529324966822,17.411901403450962
122,52,37,7,0.8889842942771533,30.056082137116924
216,38,28,4,0.4960642332258751,24.63732330144055
67,45,34,6,0.05557215694396702,20.85389018768852
181,22,25,4,0.060232921489092164,17.14548759423565
138,41,21,3,-1.4394615966337305,19.361399100940144
109,80,23,7,-0.3834875261947617,46.37921103118817
63,68,25,8,0.8862019661293755,34.500234994693805
291,95,37,4,-0.23370317931400506,53.514285051918435
299,37,20,2,0.04435055749906732,24.221746201399835
58,75,33,3,-1.1761274779890711,31.999777351350396
139,51,20,1,0.4455069012813843,21.533891912859126
102,54,35,8,-1.461756656035722,33.322066134942126
179,71,31,3,0.289882811537126,32.54510659934627
133,66,35,7,-0.18722495634881406,39.89749631878277
141,15,19,5,-1.7432852472117588,17.43740533616855
160,37,39,5,1.0694779520408695,23.247364024197502
237,37,20,7,-0.16386526346296804,34.802096079792776
248,53,33,9,1.8607780541191659,42.405919951077806
221,93,26,5,1.4782521148224634,51.6822133080395
57,39,21,1,-0.8794678402467568,13.092552029000593
224,71,18,1,-0.7917199786555795,33.63941774352949
84,84,21,2,-1.1719768544504452,32.896793348516006
255,98,18,6,-1.5864636184263343,58.65168513827231
130,71,31,9,-0.4221771749509968,42.62271982922385
213,10,38,8,1.4437472096857615,14.958286480300117
99,36,33,5,-1.9149073696095222,20.475882501582994
153,71,37,1,0.8519444675646848,24.513020717426834
181,86,25,7,0.768339454305004,47.62934994946139
51,12,24,5,0.5546927942236286,10.066747931426153
183,79,20,6,0.7331733647443522,44.94976868385217
103,81,34,7,-1.104221788547133,41.59501099667903
155,36,18,3,0.7615718412975966,26.696921783205116
53,18,33,3,-0.5492581815410705,5.191884707635359
103,71,29,5,-2.4591933620785484,32.73084170756671
270,46,36,6,0.05741294775637079,33.46301395525463
240,60,39,9,-0.8441077324087467,40.749536412664625
195,53,39,5,1.3588166333327287,29.2975029639955
267,33,31,1,-0.28634651616591955,19.881271953362486
93,88,23,4,0.045607839925595056,40.879606123075035
211,68,23,5,0.3891795761445395,40.963117899178336
251,41,30,5,-0.2674006378833793,30.3341807612653
239,97,36,7,-0.10384111742999894,57.14422544504163
277,61,39,4,0.8435740227803442,34.044161391786005
63,71,25,1,-1.0663214782399686,26.304868813336185
144,67,19,5,-0.7018134425276003,40.033698126684286
97,61,38,7,-0.9671110546009667,32.792073662836046
64,21,18,6,1.4367546725495532,17.483581599018443
249,48,32,5,-0.7016999770078298,33.85372687403578
255,11,18,4,-0.1432832587170799,18.00750623777014
264,12,22,2,-0.600604681249585,14.946501145403548
298,65,33,4,-0.30817795327478703,37.45782691899112
239,90,36,3,-0.7374294664767825,44.30234919894221
89,68,21,1,0.46272431364111877,29.7291995625695
262,11,20,8,-1.0408501532798962,27.94667231739271
257,11,34,5,-1.352450554909997,17.200531891858375
286,63,34,4,-0.5584203694327604,35.549982665083846
131,96,29,8,-0.798235218031533,50.84489776575967
160,10,31,7,-1.3378448238083782,14.313479768723152
102,28,38,2,-0.3233727990032017,4.546637221455636
73,11,23,1,-1.6601174205563334,2.3679319975390176
