experience_years,monthly_hours,projects_handled,salary,work_life_balance,remote_work,performance_score,left_company
9,128,8,90573,3,1,100.0,0
9,214,7,72149,5,0,100.0,0
12,217,9,63040,4,0,100.0,0
3,154,7,111316,2,1,89.0,0
14,132,2,65427,1,0,83.6,0
14,124,1,109799,1,0,100.0,0
20,164,8,29092,1,0,100.0,0
15,175,7,24172,1,0,80.8,0
3,140,9,68128,3,0,86.2,0
16,163,6,78370,4,1,100.0,0
4,138,5,46415,4,1,73.3,0
11,241,4,76661,2,1,89.7,1
8,138,1,42294,1,0,46.0,0
11,223,8,45566,3,0,95.7,0
15,125,5,25974,2,0,78.8,0
13,253,1,36503,1,1,79.3,1
18,190,9,105847,2,1,100.0,0
7,188,6,74324,3,1,89.7,0
3,222,1,55594,3,0,50.1,0
12,174,8,107176,2,1,100.0,0
12,208,6,71019,1,0,81.9,0
15,211,2,116551,5,1,100.0,0
8,136,6,20323,5,0,67.0,0
6,244,5,60431,5,0,92.0,0
6,253,2,57491,1,1,70.8,1
12,224,7,20839,5,0,89.1,0
7,213,6,37008,2,1,80.2,0
17,193,7,55398,3,1,100.0,0
10,159,9,86893,1,1,100.0,0
15,250,6,35376,3,0,93.0,0
5,157,5,41244,4,0,72.6,0
4,206,7,104994,4,1,97.6,0
20,166,1,70535,2,0,100.0,0
9,129,7,91300,1,1,91.2,0
9,135,3,98877,3,0,89.1,0
0,219,4,107269,5,1,92.0,0
2,248,2,116589,1,1,77.9,1
12,153,7,79583,2,0,98.1,0
6,141,8,84280,4,0,99.4,0
8,186,1,93429,5,0,93.7,0
2,131,1,86667,3,0,54.3,0
10,167,5,69391,1,1,85.9,0
14,259,8,71919,2,1,100.0,1
20,156,1,104612,5,0,100.0,0
17,173,3,65205,3,0,100.0,0
6,127,7,84750,3,0,81.6,0
10,246,2,30907,1,1,69.9,1
17,139,3,119756,1,1,100.0,0
5,206,3,74648,3,0,73.3,0
15,165,9,107498,2,0,100.0,0
17,246,8,26555,2,1,99.7,1
12,201,3,99957,2,1,100.0,0
9,153,5,28985,5,1,74.5,0
8,128,8,59789,1,0,75.5,0
15,236,8,33251,2,1,90.6,1
5,138,2,77349,3,0,67.3,0
9,201,1,63904,2,0,74.3,0
4,223,2,36657,4,1,61.9,0
12,248,9,66922,3,0,100.0,0
9,192,8,77127,1,1,88.8,0
11,132,5,34823,2,0,66.6,0
6,244,7,68083,1,0,77.1,1
1,216,2,106860,1,1,71.9,0
11,201,5,72276,1,1,90.2,0
19,249,9,44344,4,1,100.0,0
12,157,8,68642,4,0,100.0,0
12,157,4,70887,4,1,96.4,0
13,211,4,55292,3,0,89.1,0
4,163,7,25733,1,0,60.0,0
7,204,5,66663,5,1,89.4,0
9,231,6,100123,1,1,100.0,1
6,256,8,116690,4,1,100.0,0
15,182,8,33500,1,0,88.5,0
11,204,7,22793,3,1,86.3,0
18,177,9,46915,3,1,100.0,0
16,247,9,34962,1,0,100.0,1
5,242,7,23241,2,0,51.6,1
3,186,3,25939,5,1,53.5,0
13,244,3,109526,5,1,100.0,0
0,148,3,93123,2,0,69.7,0
1,199,6,114799,5,1,100.0,0
